name,characteristic,type,descriptors,skill_text,skill_description,skill_use
Awareness,Perception,Basic,,"Basic. Detect threats, ambushes, traps, hidden objects, or environmental cues. Opposed vs. another’s actions; standard vs. environmental factors.","Awareness encompasses the character’s subconscious ability to react to things his conscious mind may not perceive. He can use this Skill to notice threats—such as ambushes, traps or cleverly hidden objects—or slight changes in the environment—such as a faint vibration or a foul smell. When using Awareness against an opponent, the test is always opposed. Noticing environmental factors is a standard test.",Free Action made in reaction to something.
Carouse,Toughness,Basic,,Basic. Resist effects of alcohol and narcotics.,"Used to resist the effects of alcohol and narcotics. Frequent imbibers can build up a tolerance, remaining lucid while others falter. Test whenever the character would suffer the effects of intoxication; failure causes Fatigue or side effects. If the character loses consciousness, he remains passed out for 1d10 – TB hours (minimum 1).",Free Action taken whenever the character imbibes.
Charm,Fellowship,Basic,Interaction,Basic (Interaction). Improve disposition of an individual or small group; opposed by Willpower; affects up to Fellowship Bonus targets that can see/hear you and share a language.,Used to improve disposition or convince others to act. Opposed by Willpower and can affect a number of targets up to Fellowship Bonus who can see and hear the character and share a language.,1 minute.
Climb,Strength,Basic,Movement,Basic (Movement). Ascend or descend difficult terrain; equipment and surface adjust difficulty.,"Allows a character to scale obstacles and terrain. The GM sets difficulty based on surface, holds, and equipment (e.g., grav-chutes, climbers’ gear). Failure may result in falls or being stuck.",Half Action.
Command,Fellowship,Basic,Interaction,"Basic (Interaction). Direct and coordinate allies; inspire arrests, retreats, or complex manoeuvres as permitted by the GM.","Direct others in battle or stressful situations. Used to issue orders, coordinate actions, and keep lesser troops steady. Difficulty varies by situation and target disposition. More complex, far‑reaching orders require more time.",Half Action for simple orders; Full Action for more involved commands.
Concealment,Agility,Basic,,"Basic. Hide objects or oneself using terrain, clothing, or distractions; opposed by Awareness or Search.","Used to hide objects or one’s person. The GM applies modifiers for camouflage, lighting, cover, or movement. Often an Opposed Test against Awareness or Search of observers.",Half Action.
Contortionist,Agility,Basic,Movement,"Basic (Movement). Escape grapples, bindings, or squeeze through tight spaces.",The basic use is to escape a grapple by wriggling free (two Full Actions). Can also squeeze through tight spaces or slip bindings; the GM sets difficulty by constraint severity.,Two Full Actions to escape a grapple; other uses as set by the GM.
Deceive,Fellowship,Basic,Interaction,"Basic (Interaction). Lie, fast‑talk, forge, or otherwise mislead; opposed by Scrutiny.","Covers lying, bluffing, misdirection, disguises, and forged credentials. Usually opposed by Scrutiny; modifiers apply for preparation and plausibility.",1 minute or more.
Dodge,Agility,Basic,,Basic. Avoid a successful melee or ranged attack.,"Used as a Reaction to nullify a successful hand‑to‑hand or ranged attack. On success, the attack deals no damage (see Combat rules for specifics).",Reaction.
Evaluate,Intelligence,Basic,Investigation,"Basic (Investigation). Assess value, quality, origin, or weak points of objects; sometimes Extended Tests.","Determine approximate value, quality, or manufacture of an object or structure. Specify what is being sought (value, quality/strength, or origin). Success reveals broad information; extra Degrees of Success reveal more. The GM may roll secretly and adjust difficulty for access and relevant Lores/Trades. Large or numerous objects may require an Extended Test; a single item takes about a minute.",1 minute or more.
Gamble,Intelligence,Basic,,Basic. Opposed Tests in games of chance; Sleight of Hand may substitute to cheat.,Used when participating in games of chance and soldierly pastimes. Each participant wagers and makes an Opposed Gamble Test; highest Degrees of Success or fewest Degrees of Failure wins. Sleight of Hand can be used to cheat (gives +20 on the cheating tests; severe failure means being caught).,Full Action to an entire day of gaming.
Inquiry,Fellowship,Basic,Investigation,"Basic (Investigation). Gather information via questions, conversation, eavesdropping, and research; often Extended.","Pick up general information (news, events) or pursue a specific lead by questioning individuals or consulting resources (e.g., libraria). Additional Degrees of Success yield more detail. Investigative use is virtually always an Extended Test with GM‑set duration and difficulty.",1 hour or more.
Intimidate,Strength,Basic,Interaction,"Basic (Interaction). Coerce through threats, fear, or display of force; opposed by Willpower.","Use fear, physical presence, or brutal displays to compel behaviour. Opposed by Willpower; situational modifiers apply (size, leverage, social context). Special Use: War Cry during a Charge to penalise foes’ Parry/Dodge if successful.",Varies; War Cry is a Free Action as part of a Charge.
Logic,Intelligence,Basic,Investigation,"Basic (Investigation). Solve puzzles, proofs, and complex problems; prepare arguments; often Extended.","Solve problems, infer patterns, or build reasoned arguments. Extended Tests for complex reasoning or lengthy problems as appropriate to the GM.","1 minute, or longer for particularly complex problems."
Scrutiny,Perception,Basic,,"Basic. Assess truthfulness, motives, and small details; Opposed vs. Deceive when detecting lies.","Assess people or objects in detail—truthfulness, motives, temperament—or examine items for subtle characteristics. Opposed by Deceive when perceiving falsehoods. Does not replace roleplaying in social scenes.",Full Action (special uses may take longer).
Search,Perception,Basic,,"Basic. Systematic search of areas, persons, or items for hidden features or objects.","Conduct a careful search of an area, person, or object to uncover hidden items, compartments, or clues. The GM sets difficulty based on clutter, concealment, and time pressure.",Full Action or longer; GM’s discretion.
Silent Move,Agility,Basic,Movement,Basic (Movement). Move quietly; Opposed vs. Awareness or Scrutiny; environment sets difficulty.,"Used when silence and secrecy are essential to movement. Always Opposed by Awareness or Scrutiny; difficulty varies by environment (echoing metal corridors vs. carpeted halls, etc.).",Free Action as part of Movement.
Swim,Strength,Basic,Movement,Basic (Movement). Swim through liquids; difficult waters or unusual circumstances require tests.,"Allows swimming through liquids. Normal conditions need no test; rough conditions, hazards, or long distances require a Skill Test. See Swimming rules for details.",Full Action.
Acrobatics,Agility,Advanced,Movement,"Advanced (Movement). Athletic leaps, vaults, dodges; difficulty set by feat; more DoS = more flourish.","Training augments natural agility for extreme movement—leaping, tumbling, navigating precarious terrain. Difficulty depends on the feat’s danger; more Degrees of Success allow more dramatic results. Special uses include Disengage as Half Action, substituting for Jump/Leap tests.",Full Action unless otherwise noted.
Chem-Use,Intelligence,Advanced,"Crafting, Investigation","Advanced (Crafting, Investigation). Identify, handle, and apply chemicals, toxins, poisons, and drugs.","Safely identify, handle, and prepare chemicals, toxins, poisons, and drugs. Covers application and basic combinations; manufacturing from base components falls under Trade (Chymist). Failure wastes the dose; complex applications may require Extended Tests.",Full Action; Half Action with medicae injector/narthecium; complex applications may be Extended Tests.
Ciphers,Intelligence,Advanced,,"Advanced. Skill Groups: Xenos Markings, Deathwatch, Chapter Runes, Imperial Codes, Mercenary Cant, Inquisition, Underworld.","Understand and employ shorthand codes, signs, and markings used by groups for rapid, secret communication. Basic messages need no test; complex, time‑worn, or obscured messages require Skill Tests.",Varies; basic use often no test/time; complex uses as set by the GM.
Demolition,Intelligence,Advanced,Crafting,Advanced (Crafting). Place or defuse explosives; Extended Tests for complex undertakings.,"Covers placing and defusing explosives. Success when placing indicates a correctly set charge; failure means it won’t detonate (unknown until triggered). Severe failure can cause premature detonation. Defusing is an Opposed Test versus the placer’s Demolition. Large‑scale tasks (bridges, structures) use Extended Tests with GM‑set duration/difficulty.",Half Action or longer; complex setups/defusals may be Extended Tests.
Drive,Agility,Advanced,Operator,"Advanced (Operator). Skill Groups: Ground Vehicle, Skimmer/Hover, Walker.","Control land‑based, hover, or skimmer vehicles (e.g., Cargo‑8s, Rhinos, Land Speeders, Sentinels). Normal driving needs no test; hazardous conditions, speed, or dangerous manoeuvres require tests.",Half Action.
Interrogation,Willpower,Advanced,Investigation,Advanced (Investigation). Extract information from unwilling subjects using psychological and technical methods; Opposed vs. Willpower.,"Represents skilled application of psychology, serums, devices, and techniques to gain answers. Always Opposed vs. the subject’s Willpower. Success yields one answer plus one per Degree of Success. Severe failure inflicts damage and can prevent further attempts or grant the subject bonuses against future attempts.",Varies; each interrogation exchange constitutes a use as framed by the GM.
Invocation,Willpower,Advanced,,"Advanced. Focus will through mantras, foci, or meditation to influence psychic tests.","A Full Action spent focusing the mind via mantras, foci, or meditation. Success adds +1 to the final Psy Rating of the next Round’s Fettered Power Test; failure imposes –1 (and may cause the power to fail if reduced to 0).",Full Action.
